Nonwhite, Hermosa ,  12 ,  7 ,  31 ,  28 ,  107 ,"  6,843 ","  16,777 ","  23,822 ","  23,097 ","  23,094 ","  23,423 ","  23,022 ","  23,609 ","  22,550 ","  21,939 "
Total,Avondale,"  48,433 ","  47,684 ","  45,313 ","  39,748 ","  35,806 ","  33,527 ","  35,579 ","  43,083 ","  39,262 ","  41,542 ","  40,262 ","  39,117 ","  39,721 ","  38,191 ","37,368"
Asian,Avondale,,,,,  175 , N/A ,"  1,102 ",  953 ,"  1,194 ","  1,289 ","  1,268 ","  1,297 ","  1,305 ","  1,340 ","1,537"
Black or African-American,Avondale,  4 ,  12 ,  18 ,  3 ,  11 ,  50 ,  332 ,  669 ,  991 ,"  1,110 ",  794 ,  873 ,  842 ,  800 ,784
Persons of Spanish Language*,Avondale,,,,,"  1,645 ","  6,863 ","  13,359 ","  26,700 ","  25,295 ","  27,177 ","  25,639 ","  23,537 ","  24,563 ","  23,368 ","21,491"
White,Avondale,"  48,422 ","  47,656 ","  45,268 ","  39,613 ","  35,472 ","  25,289 ","  20,653 ","  12,757 ","  11,166 ","  11,010 ","  11,699 ","  12,629 ","  12,327 ","  11,898 ","12,843"
Percent Black,Avondale,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  1 ,  2 ,  3 ,  3 ,  2 ,  2 ,  2 ,  2 ,  2 
Nonwhite, Avondale ,  11 ,  28 ,  45 ,  135 ,  334 ,"  8,238 ","  14,926 ","  30,326 ","  28,096 ","  30,532 ","  28,563 ","  26,488 ","  27,394 ","  26,293 ","  24,525 "
Total,Logan Square,"  114,174 ","  110,010 ","  106,763 ","  94,799 ","  88,555 ","  84,768 ","  82,605 ","  82,715 ","  72,791 ","  73,786 ","  73,929 ","  74,055 ","  74,549 ","  74,606 ","73,927"
Asian,Logan Square,,,,,  599 , N/A ,  935 ,"  1,087 ","  1,828 ","  2,061 ","  2,265 ","  1,896 ","  2,124 ","  2,234 ","2,410"
Black or African-American,Logan Square,  19 ,  39 ,  208 ,  371 ,  629 ,"  2,004 ","  4,497 ","  4,290 ","  3,900 ","  4,710 ","  4,305 ","  3,934 ","  3,452 ","  3,556 ","3,672"
Persons of Spanish Language*,Logan Square,,,,,"  15,765 ","  43,829 ","  54,740 ","  53,833 ","  37,295 ","  35,140 ","  34,779 ","  34,658 ","  34,677 ","  33,868 ","31,931"
White,Logan Square,"  114,086 ","  109,932 ","  106,442 ","  94,076 ","  86,455 ","  36,848 ","  22,081 ","  21,742 ","  28,514 ","  30,665 ","  31,369 ","  32,081 ","  32,784 ","  33,354 ","34,203"
Percent Black,Logan Square,  0 ,  0 ,  0 ,  0 ,  1 ,  2 ,  5 ,  5 ,  5 ,  6 ,  6 ,  5 ,  5 ,  5 ,  5 
Nonwhite, Logan Square ,  88 ,  78 ,  321 ,  723 ,"  2,100 ","  47,920 ","  60,524 ","  60,973 ","  44,277 ","  43,121 ","  42,560 ","  41,974 ","  41,765 ","  41,252 ","  39,724 "
Total,Humboldt Park,"  80,835 ","  79,329 ","  76,199 ","  71,609 ","  71,726 ","  70,879 ","  67,573 ","  65,836 ","  56,323 ","  54,351 ","  52,788 ","  54,515 ","  55,011 ","  56,248 ","56,427"
Asian,Humboldt Park,,,,,  416 , N/A ,  488 ,  239 ,  222 ,  147 ,  104 ,  270 ,  271 ,  305 ,385
Black or African-American,Humboldt Park,  43 ,  32 ,  53 ,  425 ,"  13,924 ","  24,957 ","  33,077 ","  31,207 ","  23,030 ","  22,680 ","  21,481 ","  22,604 ","  22,481 ","  20,912 ","19,849"
Persons of Spanish Language*,Humboldt Park,,,,,"  11,122 ","  28,872 ","  29,735 ","  31,607 ","  30,046 ","  27,823 ","  27,886 ","  28,095 ","  28,612 ","  30,847 ","31,676"
White,Humboldt Park,"  80,679 ","  79,284 ","  76,105 ","  70,972 ","  56,772 ","  15,061 ","  4,068 ","  2,184 ","  2,502 ","  3,009 ","  2,852 ","  2,863 ","  2,958 ","  3,258 ","3,480"
Percent Black,Humboldt Park,  0 ,  0 ,  0 ,  1 ,  19 ,  35 ,  49 ,  47 ,  41 ,  42 ,  41 ,  41 ,  41 ,  37 ,  35 
Nonwhite, Humboldt Park ,  156 ,  45 ,  94 ,  637 ,"  14,954 ","  55,818 ","  63,505 ","  63,652 ","  53,821 ","  51,342 ","  49,936 ","  51,652 ","  52,053 ","  52,990 ","  52,947 "
Total,West Town,"  187,292 ","  169,924 ","  161,620 ","  139,657 ","  124,800 ","  96,428 ","  87,703 ","  87,435 ","  82,236 ","  84,087 ","  83,632 ","  84,319 ","  85,582 ","  84,458 ","83,621"
Asian,West Town,,,,,"  1,230 ", N/A ,  745 ,"  1,510 ","  3,106 ","  3,310 ","  3,109 ","  3,244 ","  3,413 ","  3,373 ","3,662"
Black or African-American,West Town,  841 ,  695 ,"  2,263 ","  2,366 ","  5,518 ","  8,299 ","  7,959 ","  7,979 ","  6,404 ","  7,106 ","  6,471 ","  6,188 ","  6,466 ","  6,551 ","5,615"
Persons of Spanish Language*,West Town,,,,,"  48,900 ","  54,693 ","  54,361 ","  40,966 ","  23,901 ","  24,074 ","  23,975 ","  23,730 ","  23,239 ","  22,477 ","21,081"
White,West Town,"  186,271 ","  169,167 ","  158,917 ","  136,479 ","  114,931 ","  30,232 ","  24,117 ","  34,445 ","  47,051 ","  48,007 ","  48,110 ","  48,787 ","  49,892 ","  49,729 ","50,854"
Percent Black,West Town,  0 ,  0 ,  1 ,  2 ,  4 ,  9 ,  9 ,  9 ,  8 ,  8 ,  8 ,  7 ,  8 ,  8 ,  7 
Nonwhite, West Town ,"  1,021 ",  757 ,"  2,703 ","  3,178 ","  9,869 ","  66,196 ","  63,586 ","  52,990 ","  35,185 ","  36,080 ","  35,522 ","  35,532 ","  35,690 ","  34,729 ","  32,767 "
Total,Austin,"  131,114 ","  132,107 ","  132,180 ","  125,133 ","  127,981 ","  138,026 ","  114,079 ","  117,527 ","  98,514 ","  98,162 ","  97,997 ","  99,711 ","  97,643 ","  97,611 ","95,260"
Asian,Austin,,,,,  754 , N/A ,  896 ,  642 ,  573 ,  351 ,  446 ,  475 ,  481 ,  475 ,483
Black or African-American,Austin,  132 ,  60 ,  122 ,  31 ,"  41,584 ","  101,341 ","  98,504 ","  105,369 ","  83,837 ","  83,844 ","  82,991 ","  83,987 ","  81,066 ","  79,668 ","76,989"
Persons of Spanish Language*,Austin,,,,,"  4,577 ","  8,148 ","  4,154 ","  4,841 ","  8,722 ","  8,756 ","  9,253 ","  10,249 ","  11,132 ","  12,270 ","12,398"
White,Austin,"  130,932 ","  132,004 ","  131,970 ","  124,916 ","  84,914 ","  25,385 ","  10,391 ","  5,662 ","  4,364 ","  4,463 ","  4,456 ","  4,213 ","  4,353 ","  4,407 ","4,403"
Percent Black,Austin,  0 ,  0 ,  0 ,  0 ,  32 ,  73 ,  86 ,  90 ,  85 ,  85 ,  85 ,  84 ,  83 ,  82 ,  81 
Nonwhite, Austin ,  182 ,  103 ,  210 ,  217 ,"  43,067 ","  112,641 ","  103,688 ","  111,865 ","  94,150 ","  93,699 ","  93,541 ","  95,498 ","  93,290 ","  93,204 ","  90,857 "
Total,West Garfield Park,"  50,014 ","  48,447 ","  48,443 ","  45,611 ","  48,464 ","  33,865 ","  24,095 ","  23,019 ","  18,001 ","  19,377 ","  18,715 ","  18,885 ","  17,733 ","  17,490 ","17,155"
Asian,West Garfield Park,,,,,  29 , N/A ,  17 ,  18 ,  8 ,  18 ,  26 ,  49 ,  61 ,  33 ,44
Black or African-American,West Garfield Park,  46 ,  24 ,  23 ,"  7,204 ","  46,947 ","  33,281 ","  23,834 ","  22,564 ","  17,315 ","  18,764 ","  18,166 ","  18,083 ","  16,954 ","  16,705 ","16,199"
Persons of Spanish Language*,West Garfield Park,,,,,  344 ,  278 ,  133 ,  201 ,  348 ,  240 ,  156 ,  399 ,  353 ,  362 ,356
White,West Garfield Park,"  49,910 ","  48,392 ","  48,328 ","  38,152 ","  1,368 ",  204 ,  87 ,  133 ,  133 ,  274 ,  290 ,  289 ,  315 ,  277 ,384
Percent Black,West Garfield Park,  0 ,  0 ,  0 ,  16 ,  97 ,  98 ,  99 ,  98 ,  96 ,  97 ,  97 ,  96 ,  96 ,  96 ,  94 
Nonwhite, West Garfield Park ,  104 ,  55 ,  115 ,"  7,459 ","  47,096 ","  33,661 ","  24,008 ","  22,886 ","  17,868 ","  19,103 ","  18,425 ","  18,596 ","  17,418 ","  17,213 ","  16,771 "
Total,East Garfield Park,"  63,353 ","  65,789 ","  70,091 ","  66,871 ","  52,185 ","  31,580 ","  24,030 ","  20,881 ","  20,567 ","  21,316 ","  20,705 ","  20,271 ","  20,665 ","  20,234 ","20,004"
Asian,East Garfield Park,,,,,  54 , N/A ,  14 ,  25 ,  83 ,  92 ,  81 ,  59 ,  57 ,  80 ,145
Black or African-American,East Garfield Park,"  1,848 ","  2,990 ","  11,695 ","  41,097 ","  51,128 ","  31,058 ","  23,674 ","  20,296 ","  18,696 ","  20,043 ","  19,248 ","  18,543 ","  18,862 ","  18,155 ","17,736"
Persons of Spanish Language*,East Garfield Park,,,,,  534 ,  263 ,  151 ,  207 ,  850 ,  368 ,  518 ,  680 ,  728 ,  712 ,719
White,East Garfield Park,"  61,339 ","  62,704 ","  58,144 ","  25,409 ",  885 ,  195 ,  163 ,  235 ,  698 ,  662 ,  712 ,  827 ,  878 ,"  1,079 ","1,120"
Percent Black,East Garfield Park,  3 ,  5 ,  17 ,  61 ,  98 ,  98 ,  99 ,  97 ,  91 ,  94 ,  93 ,  91 ,  91 ,  90 ,  89 
Nonwhite, East Garfield Park ,"  2,014 ","  3,085 ","  11,947 ","  41,462 ","  51,300 ","  31,385 ","  23,867 ","  20,646 ","  19,869 ","  20,654 ","  19,993 ","  19,444 ","  19,787 ","  19,155 ","  18,884 "
Total,Near West Side,"  152,457 ","  136,518 ","  160,362 ","  126,610 ","  78,703 ","  57,305 ","  46,197 ","  46,419 ","  54,881 ","  54,151 ","  55,877 ","  58,899 ","  61,768 ","  62,560 ","62,872"
Asian,Near West Side,,,,,  747 , N/A ,"  2,283 ","  4,861 ","  8,022 ","  7,976 ","  7,917 ","  8,731 ","  9,626 ","  10,267 ","10,780"
Black or African-American,Near West Side,"  25,239 ","  25,774 ","  65,520 ","  68,146 ","  56,836 ","  42,452 ","  30,700 ","  24,546 ","  17,303 ","  17,319 ","  17,328 ","  17,802 ","  18,772 ","  18,559 ","18,151"
Persons of Spanish Language*,Near West Side,,,,,"  7,014 ","  5,705 ","  4,416 ","  4,415 ","  5,048 ","  4,795 ","  5,890 ","  6,046 ","  6,186 ","  6,105 ","6,245"
White,Near West Side,"  119,696 ","  110,274 ","  93,934 ","  57,676 ","  19,817 ","  7,311 ","  8,672 ","  11,731 ","  23,042 ","  22,669 ","  23,559 ","  25,091 ","  25,876 ","  26,071 ","26,122"
Percent Black,Near West Side,  17 ,  19 ,  41 ,  54 ,  72 ,  74 ,  66 ,  53 ,  32 ,  32 ,  31 ,  30 ,  30 ,  30 ,  29 
Nonwhite, Near West Side ,"  32,761 ","  26,244 ","  66,428 ","  68,934 ","  58,886 ","  49,994 ","  37,525 ","  34,688 ","  31,839 ","  31,482 ","  32,318 ","  33,808 ","  35,892 ","  36,489 ","  36,750 "
Total,North Lawndale,"  112,261 ","  102,470 ","  100,489 ","  124,937 ","  94,772 ","  61,534 ","  47,296 ","  41,768 ","  35,912 ","  36,074 ","  36,169 ","  35,623 ","  35,276 ","  35,423 ","35,947"
Asian,North Lawndale,,,,,  214 , N/A ,  33 ,  54 ,  74 ,  72 ,  85 ,  84 ,  99 ,  83 ,77
Black or African-American,North Lawndale,  374 ,  380 ,"  13,146 ","  113,827 ","  91,292 ","  59,034 ","  45,371 ","  39,164 ","  32,835 ","  33,151 ","  32,807 ","  32,077 ","  31,397 ","  31,112 ","31,270"
Persons of Spanish Language*,North Lawndale,,,,,"  1,501 ","  1,653 ","  1,471 ","  1,896 ","  2,144 ","  1,800 ","  2,187 ","  2,358 ","  2,470 ","  2,897 ","3,140"
White,North Lawndale,"  111,821 ","  102,048 ","  87,096 ","  10,792 ","  2,966 ",  655 ,  358 ,  383 ,  492 ,  797 ,  681 ,  713 ,  811 ,  796 ,966
Percent Black,North Lawndale,  0 ,  0 ,  13 ,  91 ,  96 ,  96 ,  96 ,  94 ,  91 ,  92 ,  91 ,  90 ,  89 ,  88 ,  87 
Nonwhite, North Lawndale ,  440 ,  422 ,"  13,393 ","  114,145 ","  91,806 ","  60,879 ","  46,938 ","  41,385 ","  35,420 ","  35,277 ","  35,488 ","  34,910 ","  34,465 ","  34,627 ","  34,981 "
Total,South Lawndale,"  76,749 ","  70,915 ","  66,977 ","  60,940 ","  62,895 ","  75,204 ","  81,155 ","  91,071 ","  79,288 ","  70,557 ","  69,951 ","  72,881 ","  73,826 ","  73,983 ","74,851"
Asian,South Lawndale,,,,,  179 , N/A ,  88 ,  116 ,  113 ,  115 ,  109 ,  170 ,  181 ,  201 ,142
Black or African-American,South Lawndale,  679 ,  790 ,"  1,343 ","  3,568 ","  6,447 ","  6,329 ","  6,652 ","  11,759 ","  10,374 ","  7,856 ","  8,014 ","  8,570 ","  8,158 ","  8,831 ","9,101"
Persons of Spanish Language*,South Lawndale,,,,,"  20,044 ","  55,700 ","  69,131 ","  75,613 ","  65,457 ","  59,370 ","  59,082 ","  61,499 ","  62,928 ","  62,126 ","62,512"
White,South Lawndale,"  75,950 ","  70,106 ","  65,579 ","  57,278 ","  54,148 ","  12,444 ","  5,037 ","  3,210 ","  3,056 ","  3,065 ","  2,587 ","  2,393 ","  2,267 ","  2,545 ","2,856"
Percent Black,South Lawndale,  1 ,  1 ,  2 ,  6 ,  10 ,  8 ,  8 ,  13 ,  13 ,  11 ,  11 ,  12 ,  11 ,  12 ,  12 
Nonwhite, South Lawndale ,  799 ,  809 ,"  1,398 ","  3,662 ","  8,747 ","  62,760 ","  76,118 ","  87,861 ","  76,232 ","  67,492 ","  67,364 ","  70,488 ","  71,559 ","  71,438 ","  71,995 "
Total,Lower West Side,"  66,198 ","  57,908 ","  53,991 ","  48,448 ","  44,498 ","  44,951 ","  45,654 ","  44,031 ","  35,769 ","  36,577 ","  35,353 ","  34,979 ","  34,410 ","  32,998 ","32,888"
Asian,Lower West Side,,,,,  72 , N/A ,  68 ,  121 ,  371 ,  367 ,  379 ,  383 ,  598 ,  718 ,803
Black or African-American,Lower West Side,  5 ,  6 ,  172 ,  530 ,"  1,068 ",  403 ,  404 ,  774 ,"  1,108 ","  1,175 ","  1,349 ","  1,294 ","  1,117 ","  1,258 ","1,288"
Persons of Spanish Language*,Lower West Side,,,,,"  24,463 ","  34,867 ","  40,227 ","  39,144 ","  29,486 ","  30,053 ","  28,835 ","  28,661 ","  27,693 ","  25,699 ","25,116"
White,Lower West Side,"  65,714 ","  57,881 ","  53,800 ","  47,795 ","  41,757 ","  9,223 ","  4,806 ","  3,587 ","  4,447 ","  4,562 ","  4,385 ","  4,303 ","  4,617 ","  4,955 ","5,268"
Percent Black,Lower West Side,  0 ,  0 ,  0 ,  1 ,  2 ,  1 ,  1 ,  2 ,  3 ,  3 ,  4 ,  4 ,  3 ,  4 ,  4 
Nonwhite, Lower West Side ,  484 ,  27 ,  191 ,  653 ,"  2,741 ","  35,728 ","  40,848 ","  40,444 ","  31,322 ","  32,015 ","  30,968 ","  30,676 ","  29,793 ","  28,043 ","  27,620 "
Total,Loop,"  7,851 ","  6,221 ","  7,018 ","  4,337 ","  4,936 ","  6,462 ","  11,954 ","  16,388 ","  29,283 ","  26,363 ","  28,614 ","  30,642 ","  33,442 ","  35,010 ","35,880"
Asian,Loop,,,,,  48 , N/A ,  439 ,"  1,625 ","  4,658 ","  4,362 ","  5,054 ","  5,131 ","  5,745 ","  6,162 ","6,226"
Black or African-American,Loop,  98 ,  14 ,  277 ,  449 ,  587 ,"  1,223 ","  2,255 ","  3,221 ","  3,361 ","  3,139 ","  3,454 ","  3,786 ","  4,131 ","  4,003 ","3,945"
Persons of Spanish Language*,Loop,,,,,  83 ,  222 ,  679 ,  975 ,"  2,010 ","  1,452 ","  1,688 ","  1,823 ","  2,156 ","  2,115 ","2,471"
White,Loop,"  7,639 ","  6,115 ","  6,642 ","  3,841 ","  4,274 ","  4,667 ","  8,550 ","  10,169 ","  18,359 ","  16,716 ","  17,626 ","  19,094 ","  20,378 ","  21,691 ","22,244"
Percent Black,Loop,  1 ,  0 ,  4 ,  10 ,  12 ,  19 ,  19 ,  20 ,  11 ,  12 ,  12 ,  12 ,  12 ,  11 ,  11 
Nonwhite, Loop ,  212 ,  106 ,  376 ,  496 ,  662 ,"  1,795 ","  3,404 ","  6,219 ","  10,924 ","  9,647 ","  10,988 ","  11,548 ","  13,064 ","  13,319 ","  13,636 "
Total,Near South Side,"  10,416 ","  7,306 ","  11,317 ","  10,350 ","  8,767 ","  7,243 ","  6,828 ","  9,509 ","  21,390 ","  20,245 ","  21,042 ","  22,021 ","  22,401 ","  23,190 ","23,620"
Asian,Near South Side,,,,,  155 , N/A ,  51 ,  516 ,"  3,307 ","  3,692 ","  3,762 ","  4,246 ","  4,450 ","  5,375 ","5,098"
Black or African-American,Near South Side,"  2,474 ","  1,890 ","  7,835 ","  7,942 ","  7,490 ","  6,788 ","  6,305 ","  6,052 ","  6,015 ","  5,585 ","  5,078 ","  5,558 ","  5,382 ","  5,488 ","5,537"
Persons of Spanish Language*,Near South Side,,,,,  131 ,  108 ,  108 ,  377 ,"  1,202 ","  1,260 ","  1,257 ","  1,424 ","  1,393 ","  1,243 ","1,247"
White,Near South Side,"  7,745 ","  5,370 ","  3,449 ","  2,354 ","  1,044 ",  240 ,  354 ,"  2,393 ","  10,281 ","  9,143 ","  10,384 ","  10,087 ","  10,404 ","  10,433 ","11,063"
Percent Black,Near South Side,  24 ,  26 ,  69 ,  77 ,  85 ,  94 ,  92 ,  64 ,  28 ,  28 ,  24 ,  25 ,  24 ,  24 ,  23 
Nonwhite, Near South Side ,"  2,671 ","  1,936 ","  7,868 ","  7,996 ","  7,723 ","  7,003 ","  6,474 ","  7,116 ","  11,109 ","  11,102 ","  10,658 ","  11,934 ","  11,997 ","  12,757 ","  12,557 "
Total,Armour Square,"  21,450 ","  18,472 ","  23,294 ","  15,783 ","  13,058 ","  12,475 ","  10,801 ","  12,032 ","  13,391 ","  13,710 ","  14,120 ","  13,850 ","  14,007 ","  13,635 ","13,396"
Asian,Armour Square,,,,,"  3,144 ", N/A ,"  5,596 ","  7,305 ","  9,721 ","  9,179 ","  9,833 ","  9,750 ","  10,347 ","  10,278 ","9,811"
Black or African-American,Armour Square,"  4,058 ","  4,062 ","  10,920 ","  4,960 ","  4,131 ","  3,158 ","  2,384 ","  2,046 ","  1,419 ","  1,680 ","  1,670 ","  1,479 ","  1,348 ","  1,248 ","1,218"
Persons of Spanish Language*,Armour Square,,,,,  796 ,  603 ,  471 ,  448 ,  464 ,  644 ,  508 ,  543 ,  426 ,  408 ,526
White,Armour Square,"  15,207 ","  13,518 ","  11,102 ","  9,096 ","  5,609 ","  3,683 ","  2,326 ","  2,062 ","  1,642 ","  1,537 ","  1,600 ","  1,610 ","  1,521 ","  1,572 ","1,703"
Percent Black,Armour Square,  19 ,  22 ,  47 ,  31 ,  32 ,  25 ,  22 ,  17 ,  11 ,  12 ,  12 ,  11 ,  10 ,  9 ,  9 
Nonwhite, Armour Square ,"  6,243 ","  4,954 ","  12,192 ","  6,687 ","  7,449 ","  8,792 ","  8,475 ","  9,970 ","  11,749 ","  12,173 ","  12,520 ","  12,240 ","  12,486 ","  12,063 ","  11,693 "
Total,Douglas,"  50,285 ","  53,124 ","  78,745 ","  52,325 ","  47,734 ","  35,700 ","  30,652 ","  26,470 ","  18,238 ","  19,111 ","  19,074 ","  19,430 ","  20,323 ","  20,559 ","20,781"
Asian,Douglas,,,,,  619 , N/A ,  788 ,"  1,390 ","  2,313 ","  2,335 ","  2,452 ","  2,540 ","  2,917 ","  2,639 ","2,655"
Black or African-American,Douglas,"  44,644 ","  49,804 ","  76,421 ","  48,031 ","  41,807 ","  30,769 ","  27,957 ","  22,635 ","  13,247 ","  13,699 ","  13,583 ","  13,815 ","  14,365 ","  14,460 ","14,718"
Persons of Spanish Language*,Douglas,,,,,  588 ,  313 ,  253 ,  295 ,  465 ,  570 ,  508 ,  426 ,  485 ,  649 ,661
White,Douglas,"  5,517 ","  3,286 ","  2,172 ","  3,880 ","  5,006 ","  3,469 ","  1,597 ","  1,745 ","  1,810 ","  2,271 ","  2,279 ","  2,329 ","  2,165 ","  2,356 ","2,297"
Percent Black,Douglas,  89 ,  94 ,  97 ,  92 ,  88 ,  86 ,  91 ,  86 ,  73 ,  72 ,  71 ,  71 ,  71 ,  70 ,  71 
Nonwhite, Douglas ,"  44,768 ","  49,838 ","  76,573 ","  48,445 ","  42,728 ","  32,231 ","  29,055 ","  24,725 ","  16,428 ","  16,840 ","  16,795 ","  17,101 ","  18,158 ","  18,203 ","  18,484 "
Total,Oakland,"  14,962 ","  14,500 ","  24,464 ","  24,378 ","  18,291 ","  16,748 ","  8,197 ","  6,110 ","  5,918 ","  6,260 ","  6,247 ","  6,473 ","  6,422 ","  6,474 ","6,645"
Asian,Oakland,,,,,  41 , N/A ,  7 ,  8 ,  35 ,  57 ,  149 ,  140 ,  109 ,  124 ,140
Black or African-American,Oakland,"  4,317 ","  3,209 ","  18,926 ","  23,955 ","  18,090 ","  16,557 ","  8,117 ","  5,957 ","  5,567 ","  5,769 ","  5,779 ","  6,052 ","  5,946 ","  5,949 ","5,959"
Persons of Spanish Language*,Oakland,,,,,  125 ,  97 ,  34 ,  58 ,  87 ,  229 ,  200 ,  122 ,  209 ,  240 ,324
White,Oakland,"  10,452 ","  11,153 ","  4,332 ",  311 ,  120 ,  54 ,  37 ,  40 ,  122 ,  180 ,  105 ,  147 ,  142 ,  125 ,172
Percent Black,Oakland,  29 ,  22 ,  77 ,  98 ,  99 ,  99 ,  99 ,  97 ,  94 ,  92 ,  93 ,  93 ,  93 ,  92 ,  90 
Nonwhite, Oakland ,"  4,510 ","  3,347 ","  20,132 ","  24,067 ","  18,171 ","  16,694 ","  8,160 ","  6,070 ","  5,796 ","  6,080 ","  6,142 ","  6,326 ","  6,280 ","  6,349 ","  6,473 "
Total,Fuller Park ,"  14,437 ","  15,094 ","  17,174 ","  12,181 ","  7,372 ","  5,832 ","  4,364 ","  3,420 ","  2,876 ","  2,924 ","  2,798 ","  2,543 ","  2,457 ","  2,377 ","2,354"
Asian,Fuller Park ,,,,,  48 , N/A ,  2 ,  6 ,  7 ,  11 , - ,  -   ,  -   ,  -   ,0
Black or African-American,Fuller Park ,"  1,093 ","  1,438 ","  8,545 ","  11,692 ","  7,146 ","  5,707 ","  4,292 ","  3,225 ","  2,651 ","  2,678 ","  2,534 ","  2,289 ","  2,268 ","  2,170 ","2,170"
Persons of Spanish Language*,Fuller Park ,,,,,  58 ,  71 ,  41 ,  116 ,  132 ,  158 ,  205 ,  191 ,  152 ,  124 ,150
White,Fuller Park ,"  12,857 ","  13,630 ","  8,617 ",  476 ,  155 ,  37 ,  20 ,  18 ,  47 ,  66 ,  48 ,  52 ,  37 ,  83 ,34
Percent Black,Fuller Park ,  8 ,  10 ,  50 ,  96 ,  97 ,  98 ,  98 ,  94 ,  92 ,  92 ,  91 ,  90 ,  92 ,  91 ,  92 
Nonwhite, Fuller Park  ,"  1,580 ","  1,464 ","  8,557 ","  11,705 ","  7,217 ","  5,795 ","  4,344 ","  3,402 ","  2,829 ","  2,858 ","  2,750 ","  2,491 ","  2,420 ","  2,294 ","  2,320 "
Total,Grand Boulevard,"  87,005 ","  103,256 ","  114,557 ","  80,036 ","  80,150 ","  53,741 ","  35,897 ","  28,006 ","  21,929 ","  23,151 ","  22,616 ","  22,531 ","  22,750 ","  22,634 ","22,905"
Asian,Grand Boulevard,,,,,  27 , N/A ,  29 ,  21 ,  57 ,  60 ,  100 ,  102 ,  117 ,  89 ,88
Black or African-American,Grand Boulevard,"  82,329 ","  101,339 ","  113,374 ","  79,537 ","  79,607 ","  53,096 ","  35,574 ","  27,370 ","  20,645 ","  21,091 ","  20,467 ","  20,748 ","  20,624 ","  21,054 ","21,138"
Persons of Spanish Language*,Grand Boulevard,,,,,  451 ,  350 ,  146 ,  236 ,  395 ,  698 ,  631 ,  474 ,  574 ,  373 ,387
White,Grand Boulevard,"  4,550 ","  1,864 ","  1,075 ",  398 ,  391 ,  170 ,  96 ,  173 ,  391 ,  944 ,  957 ,  702 ,  719 ,  570 ,603
Percent Black,Grand Boulevard,  95 ,  98 ,  99 ,  99 ,  99 ,  99 ,  99 ,  98 ,  94 ,  91 ,  90 ,  92 ,  91 ,  93 ,  92 
Nonwhite, Grand Boulevard ,"  82,455 ","  101,392 ","  113,482 ","  79,638 ","  79,759 ","  53,571 ","  35,801 ","  27,833 ","  21,538 ","  22,207 ","  21,659 ","  21,829 ","  22,031 ","  22,064 ","  22,302 "
Total,Kenwood,"  26,942 ","  29,611 ","  35,705 ","  41,533 ","  26,908 ","  21,974 ","  18,178 ","  18,363 ","  17,841 ","  18,180 ","  18,021 ","  18,217 ","  17,601 ","  17,074 ","17,189"
Asian,Kenwood,,,,,  175 , N/A ,  453 ,  785 ,  973 ,"  1,065 ","  1,155 ","  1,492 ","  1,520 ","  1,440 ","1,582"
Black or African-American,Kenwood,  185 ,  278 ,"  3,453 ","  34,838 ","  21,228 ","  16,908 ","  13,855 ","  13,900 ","  12,821 ","  12,840 ","  12,552 ","  12,362 ","  11,916 ","  11,690 ","11,724"
Persons of Spanish Language*,Kenwood,,,,,  275 ,  241 ,  241 ,  301 ,  542 ,  749 ,  745 ,  701 ,  667 ,  503 ,397
White,Kenwood,"  26,713 ","  29,295 ","  30,236 ","  6,282 ","  5,398 ","  4,285 ","  3,564 ","  2,915 ","  2,942 ","  3,159 ","  3,204 ","  3,236 ","  2,978 ","  2,925 ","2,913"
Percent Black,Kenwood,  1 ,  1 ,  10 ,  84 ,  79 ,  77 ,  76 ,  76 ,  72 ,  71 ,  70 ,  68 ,  68 ,  68 ,  68 
Nonwhite, Kenwood ,,,,,,,,,,,,,,,
Total,Washington Park ,"  44,016 ","  52,736 ","  56,856 ","  43,690 ","  46,024 ","  31,935 ","  19,425 ","  14,146 ","  11,717 ","  11,146 ","  11,530 ","  11,647 ","  12,081 ","  11,868 ","11,502"
Asian,Washington Park ,,,,,  30 , N/A ,  13 ,  5 ,  12 ,  9 , - ,  11 ,  9 ,  14 ,14
Black or African-American,Washington Park ,"  40,460 ","  51,281 ","  56,178 ","  43,310 ","  45,649 ","  31,550 ","  19,268 ","  13,798 ","  11,370 ","  10,882 ","  11,202 ","  11,070 ","  11,595 ","  11,199 ","10,760"
Persons of Spanish Language*,Washington Park ,,,,,  197 ,  205 ,  48 ,  134 ,  104 ,  132 ,  170 ,  246 ,  158 ,  216 ,278
White,Washington Park ,"  3,448 ","  1,430 ",  620 ,  332 ,  234 ,  83 ,  69 ,  74 ,  87 ,  20 ,  13 ,  33 ,  48 ,  48 ,85
Percent Black,Washington Park ,  92 ,  97 ,  99 ,  99 ,  99 ,  99 ,  99 ,  98 ,  97 ,  98 ,  97 ,  95 ,  96 ,  94 ,  94 
Nonwhite, Washington Park  ,"  40,568 ","  51,306 ","  56,236 ","  43,358 ","  45,790 ","  31,852 ","  19,356 ","  14,072 ","  11,630 ","  11,126 ","  11,517 ","  11,614 ","  12,033 ","  11,820 ","  11,417 "
Total,Hyde Park,"  48,017 ","  50,550 ","  55,206 ","  45,577 ","  33,559 ","  31,198 ","  28,630 ","  29,920 ","  25,681 ","  26,541 ","  26,831 ","  26,705 ","  26,893 ","  26,573 ","26,827"
