Total, Clearing ,"  24,539 ","  22,555 ","  21,442 ","  22,266 ","  22,702 ","  23,383 ","  24,421 ","  24,933 ","25,155","25,815"
Income below poverty level, Clearing ,  858 ,"  1,031 ",  947 ,"  1,535 ","  2,045 ","  2,202 ","  2,446 ","  2,686 ","2,897","2,535"
Percent income below poverty level,Clearing,3.5%,4.6%,4.4%,6.9%,9.0%,9.4%,10.0%,11.0%,11.5%,9.8%
Total, West Lawn ,"  18,345 ","  24,739 ","  23,361 ","  29,185 ","  32,880 ","  33,163 ","  33,467 ","  32,740 ","33,576","33,086"
Income below poverty level, West Lawn ,  759 ,  953 ,"  1,225 ","  2,148 ","  5,709 ","  6,293 ","  6,283 ","  4,851 ","5,464","5,377"
Percent income below poverty level,West Lawn,4.1%,3.9%,5.2%,7.4%,17.4%,19.0%,18.8%,15.0%,16.3%,16.3%
Total, Chicago Lawn ,"  48,502 ","  46,538 ","  51,033 ","  60,573 ","  54,528 ","  55,242 ","  55,847 ","  55,136 ","53,913","52,766"
Income below poverty level, Chicago Lawn ,"  3,054 ","  4,869 ","  9,328 ","  11,970 ","  17,070 ","  17,837 ","  18,496 ","  17,282 ","16,683","14,442"
Percent income below poverty level,Chicago Lawn,6.3%,10.5%,18.3%,19.8%,31.3%,32.3%,33.1%,31.0%,30.9%,27.4%
Total, West Englewood ,"  61,660 ","  61,724 ","  52,144 ","  44,969 ","  35,088 ","  34,222 ","  33,973 ","  31,889 ","30,516","29,697"
Income below poverty level, West Englewood ,"  8,068 ","  19,671 ","  15,964 ","  14,450 ","  13,971 ","  13,706 ","  13,234 ","  12,289 ","11,071","9,975"
Percent income below poverty level,West Englewood,13.1%,31.9%,30.6%,32.1%,39.8%,40.1%,39.0%,39.0%,36.3%,33.6%
Total, Englewood ,"  88,973 ","  58,585 ","  47,893 ","  39,596 ","  28,590 ","  28,179 ","  27,111 ","  26,025 ","25,908","24,956"
Income below poverty level, Englewood ,"  22,603 ","  23,268 ","  20,710 ","  17,344 ","  13,660 ","  13,686 ","  13,544 ","  12,062 ","11,762","11,294"
Percent income below poverty level,Englewood,25.4%,39.7%,43.2%,43.8%,47.8%,48.6%,50.0%,46.0%,45.4%,45.3%
Total, Greater Grand Crossing ,"  54,090 ","  44,956 ","  38,133 ","  37,910 ","  32,395 ","  32,343 ","  32,302 ","  31,790 ","31,878","31,180"
Income below poverty level, Greater Grand Crossing ,"  9,087 ","  11,670 ","  11,073 ","  10,809 ","  11,061 ","  12,219 ","  12,450 ","  12,350 ","11,727","11,679"
Percent income below poverty level,Greater Grand Crossing,16.8%,26.0%,29.0%,28.5%,34.1%,37.8%,38.5%,39.0%,36.8%,37.5%
Total, Ashburn  ,"  47,117 ","  40,152 ","  36,697 ","  39,195 ","  42,262 ","  42,230 ","  42,153 ","  42,173 ","42,670","43,185"
Income below poverty level, Ashburn  ,"  1,243 ",  985 ,"  1,547 ","  2,722 ","  5,240 ","  5,353 ","  5,403 ","  5,224 ","5,222","5,053"
Percent income below poverty level,Ashburn ,2.6%,2.5%,4.2%,6.9%,12.4%,12.7%,12.8%,12.0%,12.2%,11.7%
Total, Auburn Gresham ,"  68,618 ","  64,703 ","  59,399 ","  55,501 ","  49,378 ","  48,672 ","  47,367 ","  45,668 ","45,641","46,220"
Income below poverty level, Auburn Gresham ,"  6,590 ","  8,992 ","  10,784 ","  11,439 ","  14,872 ","  15,222 ","  14,525 ","  13,469 ","13,306","13,368"
Percent income below poverty level,Auburn Gresham,9.6%,13.9%,18.2%,20.6%,30.1%,31.3%,30.7%,29.0%,29.2%,28.9%
Total, Beverly ,"  26,713 ","  23,269 ","  22,342 ","  21,956 ","  21,211 ","  21,741 ","  20,981 ","  20,795 ","20,812","20,794"
Income below poverty level, Beverly ,  742 ,  781 ,  814 ,  874 ,  950 ,  753 ,  756 ,  943 ,781,960
Percent income below poverty level,Beverly,2.8%,3.4%,3.6%,4.0%,4.5%,3.5%,3.6%,5.0%,3.8%,4.6%
Total, Washington Heights ,"  36,372 ","  36,169 ","  31,862 ","  29,656 ","  25,707 ","  25,929 ","  26,117 ","  26,820 ","26,806","27,230"
Income below poverty level, Washington Heights ,"  2,575 ","  4,169 ","  3,697 ","  3,680 ","  5,109 ","  5,094 ","  4,758 ","  4,375 ","4,999","5,386"
Percent income below poverty level,Washington Heights,7.1%,11.5%,11.6%,12.4%,19.9%,19.6%,18.2%,16.0%,18.6%,19.8%
Total, Mount Greenwood ,"  22,942 ","  19,919 ","  19,023 ","  18,443 ","  17,950 ","  17,817 ","  17,739 ","  18,120 ","18,363","18,622"
Income below poverty level, Mount Greenwood ,"  1,061 ",  751 ,  794 ,  722 ,  536 ,  538 ,  687 ,  851 ,729,675
Percent income below poverty level,Mount Greenwood,4.6%,3.8%,4.2%,3.9%,3.0%,3.0%,3.9%,5.0%,4.0%,3.6%
Total, Morgan Park  ,"  30,605 ","  28,919 ","  26,252 ","  24,620 ","  22,290 ","  23,138 ","  22,764 ","  22,414 ","22,533","21,961"
Income below poverty level, Morgan Park  ,"  2,510 ","  3,193 ","  2,931 ","  2,829 ","  3,385 ","  3,585 ","  4,405 ","  4,095 ","4,356","3,925"
Percent income below poverty level,Morgan Park ,8.2%,11.0%,11.2%,11.5%,15.2%,15.5%,19.4%,18.0%,19.3%,17.9%
Total, O'Hare ,,"  11,051 ","  11,214 ","  11,931 ","  13,687 ","  13,700 ","  14,143 ","  13,483 ","12,902","12,139"
Income below poverty level, O'Hare ,,  411 ,  568 ,  953 ,"  2,416 ","  2,780 ","  3,197 ","  3,001 ","1,867","1,839"
Percent income below poverty level,O'Hare,,3.7%,5.1%,8.0%,17.7%,20.3%,22.6%,22.0%,14.5%,15.1%
Total, Edgewater ,"  59,969 ","  57,091 ","  59,580 ","  60,511 ","  52,996 ","  52,925 ","  52,551 ","  52,011 ","52,541","52,975"
Income below poverty level, Edgewater ,"  5,339 ","  8,642 ","  10,078 ","  10,330 ","  9,882 ","  9,422 ","  9,652 ","  9,532 ","9,178","8,638"
Percent income below poverty level,Edgewater,8.9%,15.1%,16.9%,17.1%,18.6%,17.8%,18.4%,18.0%,17.5%,16.3%
Total, Chicago ,"  3,327,145 ","  2,965,648 ","  2,739,439 ","  2,839,038 ","  2,655,432 ","  2,656,947 ","  2,660,712 ","  2,663,479 ","2,658,529","2,666,214"
Income below poverty level, Chicago ,"  483,487 ","  601,410 ","  592,298 ","  556,791 ","  587,807 ","  601,378 ","  604,568 ","  594,751 ","576,268","550,422"
Percent income below poverty level,Chicago,14.5%,20.3%,21.6%,19.6%,22.1%,22.6%,22.7%,22.0%,21.7%,20.6%
